study_order,study_title,authors,year,journal,doi,publisher_outlet,publisher_outlet_detail,details_in_supplement,extraction_incomplete_main_text,supplement_notes,authors_business_school,author_affiliation_detail,management_domain,empirical_ulmc,not_pls,pls_sem_used,pls_variant,statistical_methods_mv,statistical_method_detail,method_variance_pct,harman_variance_pct,harman_deployed,lindell_whitney_r2_substantive,lindell_whitney_r2_method,avg_factor_loading_change,ulmc_improves_fit,ulmc_in_final,procedural_remedies_used,procedural_remedies_list,richardson_2009_cited,richardson_citation_context,richardson_critique_acknowledged,richardson_citation_text,three_step_approach_used,step1_baseline_reported,step2_ulmc_reported,step3_chisq_diff_reported,three_step_complete,sample_n,num_constructs,num_indicators,complexity_ratio,author_conclusion_mv,mv_inference_criteria_used,mv_inference_criteria_list,mv_inference_criteria_detail,mv_inferred_not_problem,mv_inference_rationale_text,author_fit_claims,estimator,software,country,industry_sector,study_design,data_collection_method,response_rate,verification_table,notes
L112,Legacy Refid 112 - ULMC Study,Legacy Study,,Human Resource Management Journal,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,7.4,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. We performed two statistical tests to check the presence of common method variance. First, the marker-variable test was performed by examining the correlation between our marker variable ‘how likely i..."
L113,Legacy Refid 113 - ULMC Study,Legacy Study,,Journal of Business & Psychology,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,20,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusi&oacute;n of a ULMC did improve the fit of the model,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Moreover, since the independent variable (appraisal of eco- nomic crisis) and the mediator (psychological distress) were collected at the same time with self-report scales, common method bias problems..."
L115,Legacy Refid 115 - ULMC Study,Legacy Study,,Journal of Product Innovation Management,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Whether common method bias is or is not a significant threat to the study conclusions remains unclear,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. To control the results for potential common-method bias, a single unmeasured latent method factor was intro- duced in the causal model. That is, an unmeasured latent construct was added, and all items..."
L122,Legacy Refid 122 - ULMC Study,Legacy Study,,Negotiation & Conflict Management Research,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. One important issue with all self-report data is the common method variance (CMV) (Podsakoff & Organ, 1986). Therefore, we informed all the respondents that their responses would be confidential and f..."
L123,Legacy Refid 123 - ULMC Study,Legacy Study,,Sustainability,,MDPI,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC did not improve the fit of the model (no change in model fit),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Following the suggestion of Podsakoff et al. (2003) [66], we first used the unmeasured latent method factor to test the common method variance that may be caused by the single source data collected in..."
L124,Legacy Refid 124 - ULMC Study,Legacy Study,,Journal of Business Ethics,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,7.84,,FALSE,,,,TRUE,,TRUE,anonymity; separation between measures; confidentiality,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC harmed the fit of the model (the fit of the proposed model was superior),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. he existence of common method bias (CMV) can be fatal, particularly in mediation studies where the data are collected through self-report questionnaires. Therefore, we used proactive measures to preve..."
L125,Legacy Refid 125 - ULMC Study,Legacy Study,,Public Personnel Management,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,12,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. With regard to our research design, our self-reported data were collected from a single source at one point in time, so common method bias (CMB) may be a concern (P. M. Podsakoff et al., 2003). Althou..."
L126,Legacy Refid 126 - ULMC Study,Legacy Study,,Applied Psychology: An International Review,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,17,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Lastly, given that the variables in our study were collected at the same time and obtained by the same method (self-report questionnaires), com- mon method variance might have affected the strength of..."
L128,Legacy Refid 128 - ULMC Study,Legacy Study,,Administrative Science Quarterly,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,17.4,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,The authors do not provide a conclusion regarding the role of common method bias,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Finally, I also followed Podsakoff et al. (1990), who recommended control- ling for common methods bias using an unmeasured latent method factor. This involves generating a latent variable through fac..."
L129,Legacy Refid 129 - ULMC Study,Legacy Study,,Journal of Organizational Behavior,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC did not improve the fit of the model (no change in model fit),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. We performed a series of CFAs to examine the distinctiveness of the study variables. The hypothesized 9-factor measurement yielded a good fit: χ2 (909) = 1192.61 (p < .001), CFI = .92, TFI = .91, RMSE..."
L130,Legacy Refid 130 - ULMC Study,Legacy Study,,International Journal of Human Resource Management,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusi&oacute;n of a ULMC did improve the fit of the model,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Moreover, because the independent variables (manager and coworker recog- nition) and the mediator (meaningfulness) were collected at the same time with self-report scales, common method bias problems ..."
L133,Legacy Refid 133 - ULMC Study,Legacy Study,,Human Resource Management,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC did not improve the fit of the model (no change in model fit),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. To address the common methods variance issue empirically, we used Harman's one-factor test and the unmeasured latent method factor technique. First, individual unit members' responses (n = 701) to the..."
L136,Legacy Refid 136 - ULMC Study,Legacy Study,,Management Decision,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC did not improve the fit of the model (no change in model fit),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. We also took several statistical steps in order to rule out the risk of common method variance: as prescribed by Podsakoff and Organ (1986), we conducted Harman’s one-factor test using the items that ..."
L138,Legacy Refid 138 - ULMC Study,Legacy Study,,Academy of Management Learning & Education,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,TRUE,anonymity,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Although they are regularly used in business re- search, self-reported measures with a common scale format and the potential to invoke social desirability are generally susceptible to common method bi..."
L139,Legacy Refid 139 - ULMC Study,Legacy Study,,Voluntas,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,16.8,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusi&oacute;n of a ULMC did improve the fit of the model,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Finally, we introduced an unmeasured latent method factor to our original measurement model allowing all items to load on to their theoretical constructs, as well as on to the latent method factor. Th..."
L140,Legacy Refid 140 - ULMC Study,Legacy Study,,Sustainability (2071-1050),,MDPI,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC did not improve the fit of the model (no change in model fit),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. We conducted the CFA marker technique [45,49] to test whether our results were affected by CMV problems. Considering we had built a 3-factor CFA model to examine construct validity, we then created a ..."
L141,Legacy Refid 141 - ULMC Study,Legacy Study,,Journal of Product Innovation Management,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,TRUE,anonymity,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,The authors do not provide a conclusion regarding the role of common method bias,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Common method variance (CMV) can be a significant source of measurement error (Pod- sakoff, MacKenzie, Lee, and Podsakoff, 2003). To help reduce CMV, best practices were used, including (1) assuring r..."
L4,"To Be (Creative), or not to Be (Creative)? A Sensemaking Perspective to Creative Role Expectations",Liu et al.,2021,Journal of Business & Psychology,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,,4.98,,FALSE,,,,TRUE,FALSE,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,,CB-SEM,,,,,,,"Legacy study from original systematic review. Text extraction available. Given that the measurement of creative role expectations, cre- ative self-expectations, perceived necessity of performance improvement, and creative cognitive style was provided by one single informan..."
L16,What imposters risk at work,Hutchins et al.,2018,Human Resource Development Quarterly,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,,28,,FALSE,,,,TRUE,FALSE,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,,CB-SEM,,,,,,,"Legacy study from original systematic review. Text extraction available. Because Harman's single factor test has been criticized by some for being an inferior, “insensitive test” (Podsakoff, MacKenzie, Lee, & Podsakoff, 2003, p. 889), we decided to implement a second, more..."
